Id,Predicted
0,1
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,0
313,0
314,1
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,1
430,1
431,0
432,0
433,0
434,1
435,1
436,1
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,0
472,1
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,0
495,1
496,0
497,0
498,0
499,1
500,1
501,0
502,1
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,1
512,1
513,1
514,0
515,0
516,1
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,0
526,0
527,1
528,0
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,0
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,1
552,0
553,1
554,0
555,0
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,1
572,1
573,1
574,1
575,0
576,0
577,1
578,1
579,1
580,0
581,1
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,0
594,1
595,0
596,1
597,0
598,0
599,0
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,1
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,1
621,1
622,0
623,1
624,1
625,0
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,1
638,0
639,0
640,1
641,0
642,0
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,0
653,1
654,1
655,0
656,1
657,0
658,1
659,0
660,0
661,1
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,1
672,0
673,1
674,0
675,1
676,1
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,1
685,0
686,0
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,1
698,1
699,0
700,1
701,1
702,0
703,0
704,1
705,0
706,1
707,0
708,0
709,1
710,0
711,1
712,1
713,1
714,0
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,0
737,1
738,1
739,1
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,0
751,1
752,1
753,0
754,1
755,0
756,0
757,0
758,1
759,1
760,0
761,1
762,0
763,0
764,1
765,0
766,0
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,1
777,0
778,1
779,0
780,0
781,1
782,0
783,0
784,1
785,0
786,1
787,0
788,0
789,0
790,0
791,1
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,0
801,0
802,1
803,0
804,1
805,0
806,1
807,1
808,0
809,0
810,0
811,1
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,0
820,0
821,1
822,0
823,0
824,0
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,0
834,1
835,0
836,1
837,0
838,0
839,1
840,0
841,1
842,0
843,0
844,0
845,1
846,1
847,1
848,0
849,0
850,0
851,1
852,0
853,0
854,0
855,1
856,1
857,1
858,0
859,1
860,1
861,0
862,0
863,1
864,0
865,0
866,1
867,0
868,0
869,0
870,0
871,1
872,1
873,0
874,1
875,1
876,0
877,0
878,0
879,1
880,0
881,1
882,0
883,1
884,1
885,1
886,1
887,1
888,0
889,1
890,1
891,1
892,0
893,0
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,0
902,0
903,1
904,0
905,0
906,0
907,1
908,1
909,0
910,1
911,1
912,0
913,1
914,0
915,0
916,0
917,1
918,1
919,1
920,0
921,0
922,0
923,0
924,1
925,1
926,1
927,0
928,0
929,1
930,0
931,0
932,1
933,0
934,0
935,1
936,0
937,0
938,0
939,0
940,1
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,1
951,0
952,1
953,1
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,1
962,1
963,1
964,0
965,0
966,0
967,0
968,1
969,0
970,1
971,1
972,0
973,0
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,1
982,1
983,0
984,1
985,0
986,0
987,0
988,0
989,1
990,1
991,1
992,0
993,1
994,1
995,1
996,1
997,1
998,0
999,1
1000,0
1001,1
1002,1
1003,1
1004,0
1005,1
1006,0
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1058,1
1059,1
1060,0
1061,1
1062,0
1063,1
1064,0
1065,1
1066,1
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,1
1074,0
1075,1
1076,1
1077,0
1078,1
1079,0
1080,1
1081,0
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,0
1089,0
1090,0
1091,1
1092,1
1093,0
1094,1
1095,0
1096,0
1097,1
1098,1
1099,1
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,1
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,1
1127,0
1128,1
1129,0
1130,1
1131,1
1132,1
1133,1
1134,1
1135,0
1136,1
1137,1
1138,0
1139,0
1140,0
1141,0
1142,1
1143,1
1144,0
1145,1
1146,0
1147,1
1148,0
1149,0
1150,0
1151,1
1152,1
1153,0
1154,0
1155,1
1156,1
1157,1
1158,0
1159,0
1160,1
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,0
1168,0
1169,1
1170,1
1171,1
1172,0
1173,0
1174,1
1175,1
1176,0
1177,1
1178,1
1179,1
1180,0
1181,0
1182,1
1183,0
1184,0
1185,1
1186,1
1187,0
1188,1
1189,0
1190,1
1191,0
1192,1
1193,1
1194,0
1195,0
1196,1
1197,1
1198,0
1199,1
1200,0
1201,1
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,1
1218,0
1219,1
1220,0
1221,1
1222,0
1223,1
1224,0
1225,1
1226,1
1227,1
1228,0
1229,0
